Time(s)	Distance(cm)	Duty(%)
2.621	415.10	0
2.719	999.00	70
2.791	415.13	70
2.867	414.93	70
2.936	412.37	70
3.006	999.00	70
3.133	402.83	85
3.205	999.00	90
3.273	396.91	70
3.344	390.01	70
3.416	999.00	90
3.490	383.38	70
3.558	531.80	90
3.644	520.48	70
3.715	999.00	70
3.784	1207.30	70
3.852	496.36	70
3.923	495.27	70
4.004	999.00	70
4.072	315.02	70
4.143	302.83	70
4.217	291.55	50
4.286	999.00	70
4.356	282.09	50
4.427	389.96	70
4.499	999.00	70
4.568	379.46	70
4.639	246.37	20
4.711	235.33	20
4.786	999.00	70
4.856	226.23	20
4.926	334.76	70
5.000	999.00	70
5.080	324.10	70
5.151	314.12	70
5.222	302.56	70
5.297	999.00	70
5.367	292.09	50
5.439	281.50	50
5.513	271.15	50
5.592	999.00	70
5.661	260.02	50
5.732	250.67	20
5.808	134.72	20
5.878	999.00	70
5.946	230.09	20
6.016	220.52	20
6.090	999.00	70
6.161	209.87	20
6.231	201.12	20
6.301	999.00	70
6.376	190.94	20
6.446	182.25	20
6.517	172.83	20
6.590	999.00	70
6.670	164.94	20
6.742	160.03	20
6.814	152.92	20
6.889	999.00	70
6.959	140.42	20
7.028	131.54	20
7.102	123.34	20
7.182	999.00	70
7.252	116.93	20
7.322	203.77	20
7.616	178.23	20
7.685	999.00	70
7.753	170.85	20
7.822	162.78	20
7.893	999.00	70
7.965	154.89	20
8.033	144.62	20
8.101	999.00	70
8.169	134.80	20
8.240	125.69	20
8.315	117.40	20
8.581	999.00	70
8.650	92.37	15
8.719	83.49	10
8.787	999.00	70
8.857	74.99	10
8.931	66.31	10
9.001	999.00	70
9.071	57.86	10
9.148	49.76	10
9.230	41.36	10
9.299	999.00	70
9.369	33.46	0
9.439	25.19	0
9.508	17.71	0
9.578	999.00	0
9.654	10.63	0
9.767	4.27	0
9.880	5.95	0
9.995	6.06	0
